year,rank,title,artist,modified_title,modified_artist
1966,48,"""Did You Ever Have to Make Up Your Mind?""",The Lovin' Spoonful,Did You Ever Have to Make Up Your Mind?,The Lovin' Spoonful
1966,49,"""We Can Work It Out""",The Beatles,We Can Work It Out,The Beatles
1966,50,"""Homeward Bound""",Simon & Garfunkel,Homeward Bound,Simon
1966,51,"""Uptight (Everything's Alright)""",Stevie Wonder,Uptight (Everything's Alright),Stevie Wonder
1966,52,"""Bang Bang (My Baby Shot Me Down)""",Cher,Bang Bang (My Baby Shot Me Down),Cher
1966,53,"""Sloop John B""",The Beach Boys,Sloop John B,The Beach Boys
1966,54,"""19th Nervous Breakdown""",The Rolling Stones,19th Nervous Breakdown,The Rolling Stones
1966,55,"""Wipe Out""",The Surfaris,Wipe Out,The Surfaris
1966,56,"""Psychotic Reaction""",Count Five,Psychotic Reaction,Count Five
1966,57,"""Paperback Writer""",The Beatles,Paperback Writer,The Beatles
1966,58,"""Beauty Is Only Skin Deep""",The Temptations,Beauty Is Only Skin Deep,The Temptations
1966,59,"""No Matter What Shape (Your Stomach's In)""",The T-Bones,No Matter What Shape (Your Stomach's In),The T-Bones
1966,60,"""Barefootin'""",Robert Parker,Barefootin',Robert Parker
1966,61,"""Just Like Me""",Paul Revere & the Raiders,Just Like Me,Paul Revere
1966,62,"""Love Makes the World Go Round""",Deon Jackson,Love Makes the World Go Round,Deon Jackson
1966,63,"""The Pied Piper""",Crispian St. Peters,The Pied Piper,Crispian St. Peters
1966,64,"""Somewhere My Love""",Ray Conniff Singers,Somewhere My Love,Ray Conniff Singers
1966,65,"""Almost Persuaded""",David Houston,Almost Persuaded,David Houston
1966,66,"""If I Were a Carpenter""",Bobby Darin,If I Were a Carpenter,Bobby Darin
1966,67,"""Don't Mess with Bill""",The Marvelettes,Don't Mess with Bill,The Marvelettes
1966,68,"""Cherry, Cherry""",Neil Diamond,"Cherry, Cherry",Neil Diamond
1966,69,"""Message to Michael""",Dionne Warwick,Message to Michael,Dionne Warwick
1966,70,"""Love Is a Hurtin' Thing""",Lou Rawls,Love Is a Hurtin' Thing,Lou Rawls
1966,71,"""Gloria""",The Shadows of Knight,Gloria,The Shadows of Knight
1966,72,"""My World Is Empty Without You""",The Supremes,My World Is Empty Without You,The Supremes
1966,73,"""Barbara Ann""",The Beach Boys,Barbara Ann,The Beach Boys
1966,74,"""Rainy Day Women #12 & 35""",Bob Dylan,Rainy Day Women #12 & 35,Bob Dylan
1966,75,"""Guantanamera""",The Sandpipers,Guantanamera,The Sandpipers
1966,76,"""I'm Your Puppet""",James & Bobby Purify,I'm Your Puppet,James
1966,77,"""Land of 1000 Dances""",Wilson Pickett,Land of 1000 Dances,Wilson Pickett
1966,78,"""Oh How Happy""",The Shades of Blue,Oh How Happy,The Shades of Blue
1966,79,"""Woman""",Peter and Gordon,Woman,Peter
1966,80,"""You Baby""",The Turtles,You Baby,The Turtles
1966,81,"""Sweet Talkin' Guy""",The Chiffons,Sweet Talkin' Guy,The Chiffons
1966,82,"""Five O'Clock World""",The Vogues,Five O'Clock World,The Vogues
1966,83,"""Black Is Black""",Los Bravos,Black Is Black,Los Bravos
1966,84,"""Nowhere Man""",The Beatles,Nowhere Man,The Beatles
1966,85,"""Dandy""",Herman's Hermits,Dandy,Herman's Hermits
1966,86,"""Baby Scratch My Back""",Slim Harpo,Baby Scratch My Back,Slim Harpo
1966,87,"""She's Just My Style""",Gary Lewis & the Playboys,She's Just My Style,Gary Lewis
1966,88,"""The More I See You""",Chris Montez,The More I See You,Chris Montez
1966,89,"""I Fought the Law""",The Bobby Fuller Four,I Fought the Law,The Bobby Fuller Four
1966,90,"""Yellow Submarine""",The Beatles,Yellow Submarine,The Beatles
1966,91,"""Hungry""",Paul Revere & the Raiders,Hungry,Paul Revere
1966,92,"""Zorba the Greek""",Herb Alpert and the Tijuana Brass,Zorba the Greek,Herb Alpert
1966,93,"""Shapes of Things""",The Yardbirds,Shapes of Things,The Yardbirds
1966,94,"""Along Comes Mary""",The Association,Along Comes Mary,The Association
1966,95,"""634-5789 (Soulsville, U.S.A.)""",Wilson Pickett,"634-5789 (Soulsville, U.S.A.)",Wilson Pickett
1966,96,"""Devil with a Blue Dress On/Good Golly, Miss Molly""",Mitch Ryder & The Detroit Wheels,"Devil with a Blue Dress On|Good Golly, Miss Molly",Mitch Ryder
1966,97,"""Wouldn't It Be Nice""",The Beach Boys,Wouldn't It Be Nice,The Beach Boys
1966,98,"""This Old Heart of Mine""",The Isley Brothers,This Old Heart of Mine,The Isley Brothers
1966,99,"""Green Grass""",Gary Lewis & the Playboys,Green Grass,Gary Lewis
1966,100,"""A Well Respected Man""",The Kinks,A Well Respected Man,The Kinks
1967,1,"""To Sir With Love""",Lulu,To Sir With Love,Lulu
1967,2,"""The Letter""",The Box Tops,The Letter,The Box Tops
1967,3,"""Ode to Billie Joe""",Bobbie Gentry,Ode to Billie Joe,Bobbie Gentry
1967,4,"""Windy""",The Association,Windy,The Association
1967,5,"""I'm a Believer""",The Monkees,I'm a Believer,The Monkees
1967,6,"""Light My Fire""",The Doors,Light My Fire,The Doors
1967,7,"""Somethin' Stupid""",Frank & Nancy Sinatra,Somethin' Stupid,Frank
1967,8,"""Happy Together""",The Turtles,Happy Together,The Turtles
1967,9,"""Groovin'""",The Young Rascals,Groovin',The Young Rascals
1967,10,"""Can't Take My Eyes Off You""",Frankie Valli,Can't Take My Eyes Off You,Frankie Valli
1967,11,"""Little Bit O' Soul""",The Music Explosion,Little Bit O' Soul,The Music Explosion
1967,12,"""I Think We're Alone Now""",Tommy James and the Shondells,I Think We're Alone Now,Tommy James
1967,13,"""Respect""",Aretha Franklin,Respect,Aretha Franklin
1967,14,"""I Was Made to Love Her""",Stevie Wonder,I Was Made to Love Her,Stevie Wonder
1967,15,"""Come Back When You Grow Up""",Bobby Vee,Come Back When You Grow Up,Bobby Vee
1967,16,"""Kind of a Drag""",The Buckinghams,Kind of a Drag,The Buckinghams
1967,17,"""Sweet Soul Music""",Arthur Conley,Sweet Soul Music,Arthur Conley
1967,18,"""Expressway to Your Heart""",Soul Survivors,Expressway to Your Heart,Soul Survivors
1967,19,"""Soul Man""",Sam & Dave,Soul Man,Sam
1967,20,"""Never My Love""",The Association,Never My Love,The Association
1967,21,"""Apples, Peaches, Pumpkin Pie""",Jay & the Techniques,"Apples, Peaches, Pumpkin Pie",Jay
1967,22,"""Come On Down to My Boat""",Every Mother's Son,Come On Down to My Boat,Every Mother's Son
1967,23,"""Incense and Peppermints""",Strawberry Alarm Clock,Incense and Peppermints,Strawberry Alarm Clock
1967,24,"""Ruby Tuesday""",The Rolling Stones,Ruby Tuesday,The Rolling Stones
1967,25,"""It Must Be Him""",Vikki Carr,It Must Be Him,Vikki Carr
1967,26,"""Love Is Here and Now You're Gone""",The Supremes,Love Is Here and Now You're Gone,The Supremes
1967,27,"""For What It's Worth""",Buffalo Springfield,For What It's Worth,Buffalo Springfield
1967,28,"""Gimme Little Sign""",Brenton Wood,Gimme Little Sign,Brenton Wood
1967,29,"""The Happening""",The Supremes,The Happening,The Supremes
1967,30,"""All You Need Is Love""",The Beatles,All You Need Is Love,The Beatles
1967,31,"""Release Me""",Engelbert Humperdinck,Release Me,Engelbert Humperdinck
1967,32,"""Your Precious Love""",Marvin Gaye & Tammi Terrell,Your Precious Love,Marvin Gaye
1967,33,"""Somebody to Love""",Jefferson Airplane,Somebody to Love,Jefferson Airplane
1967,34,"""Get on Up""",The Esquires,Get on Up,The Esquires
1967,35,"""Brown Eyed Girl""",Van Morrison,Brown Eyed Girl,Van Morrison
1967,36,"""Jimmy Mack""",Martha and the Vandellas,Jimmy Mack,Martha
1967,37,"""I Got Rhythm""",The Happenings,I Got Rhythm,The Happenings
1967,38,"""A Whiter Shade of Pale""",Procol Harum,A Whiter Shade of Pale,Procol Harum
1967,39,"""Don't You Care""",The Buckinghams,Don't You Care,The Buckinghams
1967,40,"""Then You Can Tell Me Goodbye""",The Casinos,Then You Can Tell Me Goodbye,The Casinos
1967,41,"""Reflections""",The Supremes,Reflections,The Supremes
1967,42,"""On a Carousel""",The Hollies,On a Carousel,The Hollies
1967,43,"""Please Love Me Forever""",Bobby Vinton,Please Love Me Forever,Bobby Vinton
1967,44,"""Alfie""",Dionne Warwick,Alfie,Dionne Warwick
1967,45,"""Silence Is Golden""",The Tremeloes,Silence Is Golden,The Tremeloes
1967,46,"""My Cup Runneth Over""",Ed Ames,My Cup Runneth Over,Ed Ames
1967,47,"""Up, Up and Away""",The 5th Dimension,"Up, Up and Away",The 5th Dimension
1967,48,"""San Francisco (Be Sure to Wear Flowers in Your Hair)""",Scott McKenzie,San Francisco (Be Sure to Wear Flowers in Your Hair),Scott McKenzie
1967,49,"""The Rain, the Park & Other Things""",The Cowsills,"The Rain, the Park & Other Things",The Cowsills
1967,50,"""There's a Kind of Hush""",Herman's Hermits,There's a Kind of Hush,Herman's Hermits
1967,51,"""Mercy, Mercy, Mercy""",The Buckinghams,"Mercy, Mercy, Mercy",The Buckinghams
1967,52,"""This Is My Song""",Petula Clark,This Is My Song,Petula Clark
1967,53,"""(Your Love Keeps Lifting Me) Higher and Higher""",Jackie Wilson,(Your Love Keeps Lifting Me) Higher and Higher,Jackie Wilson
1967,54,"""I've Been Lonely Too Long""",The Young Rascals,I've Been Lonely Too Long,The Young Rascals
1967,55,"""Penny Lane""",The Beatles,Penny Lane,The Beatles
1967,56,"""You're My Everything""",The Temptations,You're My Everything,The Temptations
1967,57,"""Georgy Girl""",The Seekers,Georgy Girl,The Seekers
1967,58,"""Western Union""",Five Americans,Western Union,Five Americans
1967,59,"""Baby I Love You""",Aretha Franklin,Baby I Love You,Aretha Franklin
1967,60,"""A Little Bit Me, a Little Bit You""",The Monkees,"A Little Bit Me, a Little Bit You",The Monkees
1967,61,"""California Nights""",Lesley Gore,California Nights,Lesley Gore
1967,62,"""Dedicated to the One I Love""",The Mamas & the Papas,Dedicated to the One I Love,The Mamas
1967,63,"""How Can I Be Sure""",The Young Rascals,How Can I Be Sure,The Young Rascals
1967,64,"""Carrie Anne""",The Hollies,Carrie Anne,The Hollies
1967,65,"""(We Ain't Got) Nothin' Yet""",Blues Magoos,(We Ain't Got) Nothin' Yet,Blues Magoos
1967,66,"""Friday on My Mind""",The Easybeats,Friday on My Mind,The Easybeats
1967,67,"""Soul Finger""",Bar-Kays,Soul Finger,Bar-Kays
1967,68,"""Gimme Some Lovin'""",The Spencer Davis Group,Gimme Some Lovin',The Spencer Davis Group
1967,69,"""Let It Out (Let It All Hang Out)""",The Hombres,Let It Out (Let It All Hang Out),The Hombres
1967,70,"""Let's Live for Today""",The Grass Roots,Let's Live for Today,The Grass Roots
1967,71,"""Close Your Eyes""",Peaches & Herb,Close Your Eyes,Peaches
1967,72,"""Groovin'""",Booker T. & the M.G.'s,Groovin',Booker T.
1967,73,"""Funky Broadway""",Wilson Pickett,Funky Broadway,Wilson Pickett
1967,74,"""Pleasant Valley Sunday""",The Monkees,Pleasant Valley Sunday,The Monkees
1967,75,"""I Never Loved a Man (The Way I Love You)""",Aretha Franklin,I Never Loved a Man (The Way I Love You),Aretha Franklin
1967,76,"""Tell It Like It Is""",Aaron Neville,Tell It Like It Is,Aaron Neville
1967,77,"""Cold Sweat""",James Brown,Cold Sweat,James Brown
1967,78,"""She'd Rather Be with Me""",The Turtles,She'd Rather Be with Me,The Turtles
1967,79,"""98.6""",Keith,98.6,Keith
1967,80,"""Here We Go Again""",Ray Charles,Here We Go Again,Ray Charles
1967,81,"""White Rabbit""",Jefferson Airplane,White Rabbit,Jefferson Airplane
1967,82,"""Bernadette""",Four Tops,Bernadette,Four Tops
1967,83,"""The Beat Goes On""",Sonny & Cher,The Beat Goes On,Sonny
1967,84,"""Snoopy Vs. The Red Baron""",The Royal Guardsmen,Snoopy Vs. The Red Baron,The Royal Guardsmen
1967,85,"""Society's Child""",Janis Ian,Society's Child,Janis Ian
1967,86,"""Girl, You'll Be a Woman Soon""",Neil Diamond,"Girl, You'll Be a Woman Soon",Neil Diamond
1967,87,"""Ain't No Mountain High Enough""",Marvin Gaye & Tammi Terrell,Ain't No Mountain High Enough,Marvin Gaye
1967,88,"""I Take It Back""",Sandy Posey,I Take It Back,Sandy Posey
1967,89,"""Here Comes My Baby""",The Tremeloes,Here Comes My Baby,The Tremeloes
1967,90,"""Everlasting Love""",Robert Knight,Everlasting Love,Robert Knight
1967,91,"""I Dig Rock and Roll Music""","Peter, Paul and Mary",I Dig Rock and Roll Music,"Peter, Paul"
1967,92,"""Little Ole Man (Uptight, Everything's Alright)""",Bill Cosby,"Little Ole Man (Uptight, Everything's Alright)",Bill Cosby
1967,93,"""I Had Too Much to Dream (Last Night)""",The Electric Prunes,I Had Too Much to Dream (Last Night),The Electric Prunes
1967,94,"""Daydream Believer""",The Monkees,Daydream Believer,The Monkees
1967,95,"""Baby I Need Your Lovin'""",Johnny Rivers,Baby I Need Your Lovin',Johnny Rivers
1967,96,"""Mirage""",Tommy James and the Shondells,Mirage,Tommy James
1967,97,"""Green, Green Grass of Home""",Tom Jones,"Green, Green Grass of Home",Tom Jones
1967,98,"""I Can See for Miles""",The Who,I Can See for Miles,The Who
1967,99,"""Don't Sleep in the Subway""",Petula Clark,Don't Sleep in the Subway,Petula Clark
1967,100,"""Thank the Lord for the Night Time""",Neil Diamond,Thank the Lord for the Night Time,Neil Diamond
1968,1,"""Hey Jude""",The Beatles,Hey Jude,The Beatles
1968,2,"""Love is Blue""",Paul Mauriat,Love is Blue,Paul Mauriat
1968,3,"""Honey""",Bobby Goldsboro,Honey,Bobby Goldsboro
1968,4,"""(Sittin' On) The Dock of the Bay""",Otis Redding,(Sittin' On) The Dock of the Bay,Otis Redding
1968,5,"""People Got to Be Free""",The Rascals,People Got to Be Free,The Rascals
1968,6,"""Sunshine of Your Love""",Cream,Sunshine of Your Love,Cream
1968,7,"""This Guy's in Love with You""",Herb Alpert,This Guy's in Love with You,Herb Alpert
1968,8,"""The Good, the Bad and the Ugly""",Hugo Montenegro,"The Good, the Bad and the Ugly",Hugo Montenegro
1968,9,"""Mrs. Robinson""",Simon & Garfunkel,Mrs. Robinson,Simon
1968,10,"""Tighten Up""",Archie Bell & the Drells,Tighten Up,Archie Bell
1968,11,"""Harper Valley PTA""",Jeannie C. Riley,Harper Valley PTA,Jeannie C. Riley
1968,12,"""Little Green Apples""",O. C. Smith,Little Green Apples,O. C. Smith
1968,13,"""Mony Mony""",Tommy James and the Shondells,Mony Mony,Tommy James
1968,14,"""Hello, I Love You""",The Doors,"Hello, I Love You",The Doors
1968,15,"""Young Girl""",Gary Puckett & The Union Gap,Young Girl,Gary Puckett
1968,16,"""Cry Like a Baby""",The Box Tops,Cry Like a Baby,The Box Tops
1968,17,"""Stoned Soul Picnic”",The 5th Dimension,Stoned Soul Picnic,The 5th Dimension
1968,18,"""Grazing in the Grass""",Hugh Masekela,Grazing in the Grass,Hugh Masekela
1968,19,"""Midnight Confessions""",The Grass Roots,Midnight Confessions,The Grass Roots
1968,20,"""Dance to the Music""",Sly and the Family Stone,Dance to the Music,Sly
1968,21,"""The Horse""",Cliff Nobles,The Horse,Cliff Nobles
1968,22,"""I Wish It Would Rain""",The Temptations,I Wish It Would Rain,The Temptations
1968,23,"""La-La (Means I Love You)""",The Delfonics,La-La (Means I Love You),The Delfonics
1968,24,"""Turn Around, Look at Me""",The Vogues,"Turn Around, Look at Me",The Vogues
1968,25,"""Judy in Disguise (With Glasses)""",John Fred & His Playboy Band,Judy in Disguise (With Glasses),John Fred
1968,26,"""Spooky""",Classics IV,Spooky,Classics IV
1968,27,"""Love Child""",The Supremes,Love Child,The Supremes
1968,28,"""Angel of the Morning""",Merrilee Rush,Angel of the Morning,Merrilee Rush
1968,29,"""The Ballad of Bonnie and Clyde""",Georgie Fame,The Ballad of Bonnie and Clyde,Georgie Fame
1968,30,"""Those Were the Days""",Mary Hopkin,Those Were the Days,Mary Hopkin
1968,31,"""Born to Be Wild""",Steppenwolf,Born to Be Wild,Steppenwolf
1968,32,"""Cowboys to Girls""",The Intruders,Cowboys to Girls,The Intruders
1968,33,"""Simon Says""",1910 Fruitgum Company,Simon Says,1910 Fruitgum Company
1968,34,"""Lady Willpower""",Gary Puckett & The Union Gap,Lady Willpower,Gary Puckett
1968,35,"""A Beautiful Morning""",The Rascals,A Beautiful Morning,The Rascals
1968,36,"""The Look of Love""",Sérgio Mendes & Brasil '66,The Look of Love,Sérgio Mendes
1968,37,"""Hold Me Tight""",Johnny Nash,Hold Me Tight,Johnny Nash
1968,38,"""Yummy Yummy Yummy""",Ohio Express,Yummy Yummy Yummy,Ohio Express
1968,39,"""Fire""",The Crazy World of Arthur Brown,Fire,The Crazy World of Arthur Brown
1968,40,"""Love Is All Around""",The Troggs,Love Is All Around,The Troggs
1968,41,"""Playboy""",Gene & Debbe,Playboy,Gene
1968,42,"""(Theme from) Valley of the Dolls""",Dionne Warwick,(Theme from) Valley of the Dolls,Dionne Warwick
1968,43,"""Classical Gas""",Mason Williams,Classical Gas,Mason Williams
1968,44,"""Slip Away""",Clarence Carter,Slip Away,Clarence Carter
1968,45,"""Girl Watcher""",The O'Kaysions,Girl Watcher,The O'Kaysions
1968,46,"""(Sweet Sweet Baby) Since You've Been Gone""",Aretha Franklin,(Sweet Sweet Baby) Since You've Been Gone,Aretha Franklin
1968,47,"""Green Tambourine""",The Lemon Pipers,Green Tambourine,The Lemon Pipers
1968,48,"""1, 2, 3, Red Light""",1910 Fruitgum Company,"1, 2, 3, Red Light",1910 Fruitgum Company
1968,49,"""Reach Out of the Darkness""",Friend & Lover,Reach Out of the Darkness,Friend
1968,50,"""Jumpin' Jack Flash""",The Rolling Stones,Jumpin' Jack Flash,The Rolling Stones
1968,51,"""MacArthur Park""",Richard Harris,MacArthur Park,Richard Harris
1968,52,"""Light My Fire""",José Feliciano,Light My Fire,José Feliciano
1968,53,"""I Love You""",People!,I Love You,People!
1968,54,"""Take Time to Know Her""",Percy Sledge,Take Time to Know Her,Percy Sledge
1968,55,"""Pictures of Matchstick Men""",Status Quo,Pictures of Matchstick Men,Status Quo
1968,56,"""Summertime Blues""",Blue Cheer,Summertime Blues,Blue Cheer
1968,57,"""Ain't Nothing Like the Real Thing""",Marvin Gaye & Tammi Terrell,Ain't Nothing Like the Real Thing,Marvin Gaye
1968,58,"""I Got the Feelin'""",James Brown,I Got the Feelin',James Brown
1968,59,"""I've Gotta Get a Message to You""",The Bee Gees,I've Gotta Get a Message to You,The Bee Gees
1968,60,"""Lady Madonna""",The Beatles,Lady Madonna,The Beatles
1968,61,"""Hurdy Gurdy Man""",Donovan,Hurdy Gurdy Man,Donovan
1968,62,"""Magic Carpet Ride""",Steppenwolf,Magic Carpet Ride,Steppenwolf
1968,63,"""Bottle of Wine""",The Fireballs,Bottle of Wine,The Fireballs
1968,64,"""Stay in My Corner""",The Dells,Stay in My Corner,The Dells
1968,65,"""Soul Serenade""",Willie Mitchell,Soul Serenade,Willie Mitchell
1968,66,"""Delilah""",Tom Jones,Delilah,Tom Jones
1968,67,"""Nobody but Me""",The Human Beinz,Nobody but Me,The Human Beinz
1968,68,"""I Thank You""",Sam & Dave,I Thank You,Sam
1968,69,"""The Fool on the Hill""",Sérgio Mendes & Brasil '66,The Fool on the Hill,Sérgio Mendes
1968,70,"""Sky Pilot""",The Animals,Sky Pilot,The Animals
1968,71,"""Indian Lake""",The Cowsills,Indian Lake,The Cowsills
1968,72,"""I Wonder What She's Doing Tonight""",Tommy Boyce & Bobby Hart,I Wonder What She's Doing Tonight,Tommy Boyce
1968,73,"""Over You""",Gary Puckett & The Union Gap,Over You,Gary Puckett
1968,74,"""Goin' Out of My Head/Can't Take My Eyes Off You""",The Lettermen,Goin' Out of My Head|Can't Take My Eyes Off You,The Lettermen
1968,75,"""Shoo-Be-Doo-Be-Doo-Da-Day""",Stevie Wonder,Shoo-Be-Doo-Be-Doo-Da-Day,Stevie Wonder
1968,76,"""The Unicorn""",The Irish Rovers,The Unicorn,The Irish Rovers
1968,77,"""You Keep Me Hangin' On""",Vanilla Fudge,You Keep Me Hangin' On,Vanilla Fudge
1968,78,"""Revolution""",The Beatles,Revolution,The Beatles
1968,79,"""Woman, Woman""",Gary Puckett & The Union Gap,"Woman, Woman",Gary Puckett
1968,80,"""Elenore""",The Turtles,Elenore,The Turtles
1968,81,"""White Room""",Cream,White Room,Cream
1968,82,"""You're All I Need to Get By""",Marvin Gaye & Tammi Terrell,You're All I Need to Get By,Marvin Gaye
1968,83,"""Baby, Now That I've Found You""",The Foundations,"Baby, Now That I've Found You",The Foundations
1968,84,"""Sweet Inspiration""",The Sweet Inspirations,Sweet Inspiration,The Sweet Inspirations
1968,85,"""If You Can Want""",Smokey Robinson and the Miracles,If You Can Want,Smokey Robinson
1968,86,"""Cab Driver""",The Mills Brothers,Cab Driver,The Mills Brothers
1968,87,"""Time Has Come Today""",The Chambers Brothers,Time Has Come Today,The Chambers Brothers
1968,88,"""Do You Know the Way to San Jose""",Dionne Warwick,Do You Know the Way to San Jose,Dionne Warwick
1968,89,"""Scarborough Fair""",Simon & Garfunkel,Scarborough Fair,Simon
1968,90,"""Say It Loud – I'm Black and I'm Proud""",James Brown,Say It Loud – I'm Black and I'm Proud,James Brown
1968,91,"""The Mighty Quinn""",Manfred Mann,The Mighty Quinn,Manfred Mann
1968,92,"""Here Comes the Judge""",Shorty Long,Here Comes the Judge,Shorty Long
1968,93,"""I Say a Little Prayer""",Aretha Franklin,I Say a Little Prayer,Aretha Franklin
1968,94,"""Think""",Aretha Franklin,Think,Aretha Franklin
1968,95,"""Sealed with a Kiss""",Gary Lewis & the Playboys,Sealed with a Kiss,Gary Lewis
1968,96,"""Piece of My Heart""",Big Brother and the Holding Company,Piece of My Heart,Big Brother
1968,97,"""Suzie Q.""",Creedence Clearwater Revival,Suzie Q.,Creedence Clearwater Revival
1968,98,"""Bend Me, Shape Me""",The American Breed,"Bend Me, Shape Me",The American Breed
1968,99,"""Hey, Western Union Man""",Jerry Butler,"Hey, Western Union Man",Jerry Butler
1968,100,"""Never Give You Up""",Jerry Butler,Never Give You Up,Jerry Butler
1969,1,"""Sugar, Sugar""",The Archies,"Sugar, Sugar",The Archies
1969,2,"""Aquarius/Let the Sunshine In""",The 5th Dimension,Aquarius|Let the Sunshine In,The 5th Dimension
1969,3,"""I Can't Get Next to You""",The Temptations,I Can't Get Next to You,The Temptations
1969,4,"""Honky Tonk Women""",The Rolling Stones,Honky Tonk Women,The Rolling Stones
1969,5,"""Everyday People""",Sly and the Family Stone,Everyday People,Sly
1969,6,"""Dizzy""",Tommy Roe,Dizzy,Tommy Roe
1969,7,"""Hot Fun in the Summertime""",Sly and the Family Stone,Hot Fun in the Summertime,Sly
1969,8,"""I'll Never Fall in Love Again""",Tom Jones,I'll Never Fall in Love Again,Tom Jones
1969,9,"""Build Me Up Buttercup""",The Foundations,Build Me Up Buttercup,The Foundations
1969,10,"""Crimson and Clover""",Tommy James and the Shondells,Crimson and Clover,Tommy James
1969,11,"""One""",Three Dog Night,One,Three Dog Night
1969,12,"""Crystal Blue Persuasion""",Tommy James and the Shondells,Crystal Blue Persuasion,Tommy James
1969,13,"""Hair""",The Cowsills,Hair,The Cowsills
1969,14,"""Too Busy Thinking About My Baby""",Marvin Gaye,Too Busy Thinking About My Baby,Marvin Gaye
1969,15,"""Love Theme from Romeo and Juliet""",Henry Mancini,Love Theme from Romeo and Juliet,Henry Mancini
1969,16,"""Get Together""",The Youngbloods,Get Together,The Youngbloods
1969,17,"""Grazing in the Grass""",The Friends of Distinction,Grazing in the Grass,The Friends of Distinction
1969,18,"""Suspicious Minds""",Elvis Presley,Suspicious Minds,Elvis Presley
1969,19,"""Proud Mary""",Creedence Clearwater Revival,Proud Mary,Creedence Clearwater Revival
1969,20,"""What Does It Take (To Win Your Love)""",Jr. Walker & The All Stars,What Does It Take (To Win Your Love),Jr. Walker
1969,21,"""It's Your Thing""",The Isley Brothers,It's Your Thing,The Isley Brothers
1969,22,"""Sweet Caroline""",Neil Diamond,Sweet Caroline,Neil Diamond
1969,23,"""Jean""",Oliver,Jean,Oliver
1969,24,"""Bad Moon Rising""",Creedence Clearwater Revival,Bad Moon Rising,Creedence Clearwater Revival
1969,25,"""Get Back""",The Beatles with Billy Preston,Get Back,The Beatles
1969,26,"""In the Year 2525""",Zager & Evans,In the Year 2525,Zager
1969,27,"""Spinning Wheel""","Blood, Sweat & Tears",Spinning Wheel,"Blood, Sweat"
1969,28,"""Baby, I Love You""",Andy Kim,"Baby, I Love You",Andy Kim
1969,29,"""Going in Circles""",The Friends of Distinction,Going in Circles,The Friends of Distinction
1969,30,"""Hurt So Bad""",The Lettermen,Hurt So Bad,The Lettermen
1969,31,"""Green River""",Creedence Clearwater Revival,Green River,Creedence Clearwater Revival
1969,32,"""My Cherie Amour""",Stevie Wonder,My Cherie Amour,Stevie Wonder
1969,33,"""Easy to Be Hard""",Three Dog Night,Easy to Be Hard,Three Dog Night
1969,34,"""Baby It's You""",Smith,Baby It's You,Smith
1969,35,"""In the Ghetto""",Elvis Presley,In the Ghetto,Elvis Presley
1969,36,"""A Boy Named Sue""",Johnny Cash,A Boy Named Sue,Johnny Cash
1969,37,"""Baby, Baby Don't Cry""",The Miracles,"Baby, Baby Don't Cry",The Miracles
1969,38,"""Only the Strong Survive""",Jerry Butler,Only the Strong Survive,Jerry Butler
1969,39,"""Time of the Season""",The Zombies,Time of the Season,The Zombies
1969,40,"""Wedding Bell Blues""",The 5th Dimension,Wedding Bell Blues,The 5th Dimension
1969,41,"""Little Woman""",Bobby Sherman,Little Woman,Bobby Sherman
1969,42,"""Love (Can Make You Happy)""",Mercy,Love (Can Make You Happy),Mercy
1969,43,"""Good Morning Starshine""",Oliver,Good Morning Starshine,Oliver
1969,44,"""These Eyes""",The Guess Who,These Eyes,The Guess Who
1969,45,"""You've Made Me So Very Happy""","Blood, Sweat & Tears",You've Made Me So Very Happy,"Blood, Sweat"
1969,46,"""Put a Little Love in Your Heart""",Jackie DeShannon,Put a Little Love in Your Heart,Jackie DeShannon
1969,47,"""Do Your Thing""",Charles Wright & the Watts 103rd Street Rhythm Band,Do Your Thing,Charles Wright
1969,48,"""I'd Wait a Million Years""",The Grass Roots,I'd Wait a Million Years,The Grass Roots
1969,49,"""Touch Me""",The Doors,Touch Me,The Doors
1969,50,"""More Today Than Yesterday""",Spiral Starecase,More Today Than Yesterday,Spiral Starecase
1969,51,"""I've Gotta Be Me""",Sammy Davis Jr.,I've Gotta Be Me,Sammy Davis Jr.
1969,52,"""Lay Lady Lay""",Bob Dylan,Lay Lady Lay,Bob Dylan
1969,53,"""Atlantis""",Donovan,Atlantis,Donovan
1969,54,"""Traces""",Classics IV,Traces,Classics IV
1969,55,"""It's Getting Better""","""Mama"" Cass Elliot",It's Getting Better,"""Mama"" Cass Elliot"
1969,56,"""This Magic Moment""",Jay and the Americans,This Magic Moment,Jay
1969,57,"""Runaway Child, Running Wild""",The Temptations,"Runaway Child, Running Wild",The Temptations
1969,58,"""Hawaii Five-O""",The Ventures,Hawaii Five-O,The Ventures
1969,59,"""Galveston""",Glen Campbell,Galveston,Glen Campbell
1969,60,"""I'm Gonna Make You Mine""",Lou Christie,I'm Gonna Make You Mine,Lou Christie
1969,61,"""Gitarzan""",Ray Stevens,Gitarzan,Ray Stevens
1969,62,"""Can I Change My Mind""",Tyrone Davis,Can I Change My Mind,Tyrone Davis
1969,63,"""Time Is Tight""",Booker T. & the M.G.'s,Time Is Tight,Booker T.
1969,64,"""This Girl's in Love With You""",Dionne Warwick,This Girl's in Love With You,Dionne Warwick
1969,65,"""Color Him Father""",The Winstons,Color Him Father,The Winstons
